"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03789V04537","Local Authority Area","C02076V03371","Age Group","UNIT","VALUE"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","-","All ages","Number","28570"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","4031","24 years and under","Number","1120"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","415","25 - 34 years","Number","11280"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","465","35 - 44 years","Number","7020"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","505","45 - 64 years","Number","5320"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","575","65 years and over","Number","870"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","998","Age unknown","Number","2960"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","-","All ages","Number","700"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","4031","24 years and under","Number","10"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","415","25 - 34 years","Number","230"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","465","35 - 44 years","Number","210"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","505","45 - 64 years","Number","150"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","575","65 years and over","Number","30"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","998","Age unknown","Number","80"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","-","All ages","Number","740"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","4031","24 years and under","Number","20"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","415","25 - 34 years","Number","240"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","465","35 - 44 years","Number","170"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","505","45 - 64 years","Number","210"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","575","65 years and over","Number","20"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","998","Age unknown","Number","80"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","-","All ages","Number","450"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","4031","24 years and under","Number","20"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","415","25 - 34 years","Number","140"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","465","35 - 44 years","Number","100"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","505","45 - 64 years","Number","100"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","575","65 years and over","Number","20"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","998","Age unknown","Number","80"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","-","All ages","Number","2300"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","4031","24 years and under","Number","80"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","415","25 - 34 years","Number","980"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","465","35 - 44 years","Number","530"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","505","45 - 64 years","Number","350"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","575","65 years and over","Number","80"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","998","Age unknown","Number","290"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","-","All ages","Number","240"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","4031","24 years and under","Number","0"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","415","25 - 34 years","Number","110"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","465","35 - 44 years","Number","60"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","505","45 - 64 years","Number","50"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","575","65 years and over","Number","10"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","998","Age unknown","Number","20"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","-","All ages","Number","3630"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","4031","24 years and under","Number","140"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","415","25 - 34 years","Number","1610"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","465","35 - 44 years","Number","980"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","505","45 - 64 years","Number","560"
"CRP03C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","575","65 years and over","Number","90"
