"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03789V04537","Local Authority Area","C03723V04471","Sex Profile","UNIT","VALUE"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","-","All buyers","Number","28570"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","110","Sole male buyer","Number","4390"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","120","Sole female buyer","Number","4870"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","130","Joint buyers - male & female","Number","14930"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","140","Joint buyers - 2 male","Number","320"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","150","Joint buyers - 2 female","Number","200"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","IE0","Ireland","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","3870"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","-","All buyers","Number","700"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","110","Sole male buyer","Number","130"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","120","Sole female buyer","Number","110"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","130","Joint buyers - male & female","Number","320"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","140","Joint buyers - 2 male","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","150","Joint buyers - 2 female","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1434-13a3-e055-000000000001","Cork City Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","120"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","-","All buyers","Number","740"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","110","Sole male buyer","Number","110"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","120","Sole female buyer","Number","120"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","130","Joint buyers - male & female","Number","380"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","140","Joint buyers - 2 male","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","150","Joint buyers - 2 female","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","110"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","-","All buyers","Number","450"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","110","Sole male buyer","Number","80"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","120","Sole female buyer","Number","60"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","130","Joint buyers - male & female","Number","210"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","140","Joint buyers - 2 male","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","150","Joint buyers - 2 female","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","90"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","-","All buyers","Number","2300"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","110","Sole male buyer","Number","360"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","120","Sole female buyer","Number","350"
