"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03867V04617","County Where Property Was Purchased","C03734V04482","Purchasers Location Given During Purchase","UNIT","VALUE"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","999","Unknown","Number","50"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","CEC","Co. Clare","Number","8240"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","CKC","Co. Cork","Number","180"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","CNC","Co. Cavan","Number","10"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","CWC","Co. Carlow","Number","20"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","DLC","Co. Donegal","Number","10"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","DNC","Co. Dublin","Number","540"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","EURXIEUK","European Countries excluding Ireland and the UK","Number","60"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","GYC","Co. Galway","Number","290"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","KEC","Co. Kildare","Number","90"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","KKC","Co. Kilkenny","Number","10"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","KYC","Co. Kerry","Number","40"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","LDC","Co. Longford","Number","10"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","LHC","Co. Louth","Number","10"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","LKC","Co. Limerick","Number","1590"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","LMC","Co. Leitrim","Number","0"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","LSC","Co. Laois","Number","30"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","MHC","Co. Meath","Number","50"
"CRP05C1","Volume of Purchasers","2019","2019","01","Filings","2ae19629-1450-13a3-e055-000000000001","Co. Clare","MNC","Co. Monaghan","Number","10"
