STATISTIC,Statistic Label,TLIST,Year,C03341V04028,Stamp Duty Event,C03721V04469,Transaction Class,C03788V04538,NUTS 3 Region,C03722V04470,Type of Buyer,UNIT,VALUE
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,IE0,Ireland,-,All buyer types,Number,19300.0
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,IE0,Ireland,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,IE0,Ireland,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,All buyer types,Number,1470.0
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,-,All buyer types,Number,1500.0
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,-,All buyer types,Number,1720.0
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,-,All buyer types,Number,1520.0
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,-,All buyer types,Number,2590.0
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,All buyer types,Number,6560.0
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,-,All buyer types,Number,2950.0
CRP01C1,Volume of Sales,2010,2010,1,Filings,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,110,Buyer with child/children,Number,
